Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1637256119,10,,Aggregated,2.000000,0.000000,180,210,230,230,370,420,720,720,720,720,720,24,0,180.0,195.7569324592138,42.981669001164846,724.4907339991187,115810.625
1637256120,10,GET,facebook,0.400000,0.000000,230,230,230,230,230,230,230,230,230,230,230,6,0,220.0,212.97209850066187,178.84301900630817,234.0982219975558,81840.5
1637256120,10,GET,google,0.700000,0.000000,72,74,79,79,82,82,82,82,82,82,82,9,0,72,66.20659322248281,42.981669001164846,83.00952999707079,14919.777777777777
1637256120,10,GET,microsoft,1.100000,0.000000,220,410,420,420,720,780,780,780,780,780,780,14,0,220.0,332.40249792964147,156.6986990001169,775.9084650024306,210717.42857142858
1637256120,10,,Aggregated,2.200000,0.000000,190,220,230,370,420,720,780,780,780,780,780,29,0,190.0,225.08023796625162,42.981669001164846,775.9084650024306,123288.44827586207
1637256121,10,GET,facebook,0.400000,0.000000,230,230,230,230,230,230,230,230,230,230,230,6,0,220.0,212.97209850066187,178.84301900630817,234.0982219975558,81840.5
1637256121,10,GET,google,0.800000,0.000000,71,72,74,79,82,82,82,82,82,82,82,10,0,71,64.47090820074663,42.981669001164846,83.00952999707079,14924.4
1637256121,10,GET,microsoft,1.100000,0.000000,210,370,410,410,720,780,780,780,780,780,780,17,0,220.0,318.5631561774404,156.6986990001169,775.9084650024306,210697.35294117648
1637256121,10,,Aggregated,2.300000,0.000000,190,220,230,230,410,720,780,780,780,780,780,33,0,190.0,222.36713115236137,42.981669001164846,775.9084650024306,127943.69696969698
1637256122,10,GET,facebook,0.400000,0.000000,230,230,230,230,230,230,230,230,230,230,230,7,0,220.0,210.9625825718727,178.84301900630817,234.0982219975558,81840.14285714286
1637256122,10,GET,google,0.800000,0.000000,58,71,72,79,82,82,82,82,82,82,82,11,0,71,63.92545200056206,42.981669001164846,83.00952999707079,14921.727272727272
